,tweet
69,"['gracia', 'la', 'revolución', 'cubana', 'la', 'visión', 'futurista', 'de', 'fidel', 'tenemo', 'unapoblación', 'inmunizada', 'contra', 'la', 'covid19', 'másqueunavacunaunpaí', 'cubav', 'héroesdelasalud', 'cubacooperaven', 'minsapcubahttp', 'co', 'x0udtvzszg']"
70,"['', 'jeguitar', 'bfmtv', 'donnez', 'nou', 'un', 'budget', 'et', 'fera', 'mieux', 'ça', 'n', 'est', 'pa', 'difficil', 'en', 'même', 'temp', '']"
71,"['12', '15時点', '東京におけ', 'covid19', '感染者数', 'activecas', 'は189人', '人口に占める感染者率は0', '001', 'です', '都民の74178人に1人が感染している計算になり', 'これは仮に任意の都民', '東京ドーを満員にした場合', '0', '62人の感染者に相当します', '東京コロナ速', '新型コロナウイル', 'tokyo']"
72,"['', 'covid19', 'coronavíru', 'vacina', 'jundiahttp', 'co', 'e7ova0kw']"
73,"['', 'covid19', 'okullarkapansin', 'omicronhttp', 'co', 'p01a1yosfp']"
74,"['', 'coronaviru', 'covid19', 'covid_19', 'sarscov', 'covid19worldlast', 'updateddecemb', '15202110', '2gmtcovid', '19', 'coronaviru', 'graph', 'http', 'co', '3senhm1fsl']"
75,"['join', 'us', 'book', 'launchsecur', 'sector', 'respons', 'covid19', 'asiapacif', '1dec', '9', '00', '10', '30am', 'cet', 'http', 'co', '82dcb21tqihttp', 'co', 'aa9oi0hlb0']"
76,"['pandemia', 'não', 'acab', 'pandemia', 'não', 'acab', 'covid19http', 'co', 'e3rlwliz53']"
77,"['', 'cphia2021j', 'particip', 'depui', 'hier', 'la', '1ère', 'confer', 'sur', 'la', 'santpubliqu', 'en', 'afriqu', 'organisé', 'par', 'africacdc', 'du', '14', '1décembrela', 'journé', 'hier', 'marqué', 'par', 'le', 'point', 'sur', 'la', 'situat', 'de', 'la', 'covid19', 'en', 'afriqu', 'http', 'co', 'g0pct7zubu']"
78,"['peopl', 'meet', 'parti', 'say', 'karan', 'johar', 'test', 'neg', 'covid19', 'along', 'shanaya', 'sanjay', 'kapoor', 'karanjohar', 'shanayakapoor', 'sanjaykapoor', 'covid19', 'negativehttp', 'co', 'xcsieetxr6']"
79,"['', 'covid19', 'fault', 'pay', '']"
80,"['mit', 'einem', 'neuen', 'test', 'von', 'forscher', 'innen', 'der', 'uniklinik_fr', 'eiburg', 'lassen', 'sich', 'löslich', 'immunkomplex', 'geringsten', 'spuren', 'nachweisen', 'relev', 'für', 'die', 'erforschung', 'und', 'diagnostik', 'von', 'autoimmunkrankheiten', 'und', 'von', 'viru', 'infektionen', 'wie', 'covid19http', 'co', 'u5kzibfky0']"
